filename,label,augmented
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_8125.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_30216.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_4558.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_31992.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_29701.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_18741.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16829.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_23522.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_28456.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_8024.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_4526.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_23073.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_25978.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_25542.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_18340.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_28587.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_4383.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_10470.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21940.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_37355.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_28000.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_4952.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_6147.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_26617.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_36430.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_11666.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_20560.jpg,Normal clean mucosa,False
